id,district,state,state_code,year,state_tier,population,population_density,urban_population_pct,rural_population_pct,sc_st_population_pct,working_age_population_pct,female_male_ratio,gdp_per_capita,gsdp_growth_rate,poverty_rate,unemployment_rate,average_household_income,tax_revenue_per_capita,credit_deposit_ratio,imr,mmr,u5mr,life_expectancy,hospital_beds_per_1000,doctors_per_1000,health_centres_count,immunization_coverage_pct,malnutrition_rate,health_alloc_cr,health_spent_cr,health_efficiency,literacy_rate,ger_primary,ger_secondary,ger_higher,dropout_rate_primary,dropout_rate_secondary,student_teacher_ratio,schools_per_1000,gender_parity_index,education_alloc_cr,education_spent_cr,education_efficiency,agricultural_land_pct,irrigation_coverage_pct,crop_yield_index,farmer_income_inr,msp_benefit_pct,kisan_credit_coverage,drought_frequency_index,agriculture_alloc_cr,agriculture_spent_cr,agriculture_efficiency,road_density,nh_connectivity_index,railway_density,electrification_rate,internet_penetration_pct,mobile_connectivity_pct,infrastructure_alloc_cr,infrastructure_spent_cr,infrastructure_efficiency,safe_water_access_pct,sanitation_coverage_pct,groundwater_stress_index,renewable_energy_pct,energy_consumption_per_capita,water_alloc_cr,energy_alloc_cr,health_outcome_score,education_outcome_score,agriculture_outcome_score,infrastructure_outcome_score,overall_welfare_score,citizen_satisfaction_score,health_need_index,education_need_index,infrastructure_need_index,overall_need_index,uplift_multiplier,absorption_capacity
1,Ballari,Karnataka,KA,2018,A,908050,221,37.4,62.6,21.9,57.0,0.991,164398.0,11.8,20.2,3.8,179814.0,14727.0,71.6,39.3,120.0,54.9,68.5,2.43,0.88,144,84.1,26.5,502.71,462.92,0.921,74.1,91.0,79.0,30.3,5.0,9.2,23.0,4.87,0.946,607.97,427.9,0.704,35.1,59.9,86.2,96305.0,62.3,64.5,0.33,409.64,304.96,0.744,1.35,79.2,0.0304,90.9,31.2,68.1,673.28,414.99,0.616,79.2,71.9,0.28,18.9,1207.0,257.29,286.96,95.0,54.4,68.9,57.5,70.3,3.08,45.8,51.8,40.9,46.2,1.4,0.746
2,Ballari,Karnataka,KA,2019,A,911124,200,35.9,64.1,11.6,67.8,0.953,172984.0,6.5,19.8,4.2,194768.0,14900.0,83.2,38.1,112.0,48.6,70.4,2.54,1.08,48,83.4,23.1,558.69,390.52,0.699,73.9,97.5,78.1,36.0,3.1,9.9,24.0,5.55,0.945,636.16,569.25,0.895,27.9,66.3,89.8,102425.0,65.1,62.8,0.19,436.21,274.98,0.63,1.47,63.4,0.0507,93.3,38.5,70.7,754.24,623.85,0.827,79.7,69.0,0.78,25.6,1231.0,272.46,322.32,95.0,56.4,79.4,59.9,73.5,3.78,42.2,50.8,39.0,44.0,1.4,0.763
3,Ballari,Karnataka,KA,2020,A,926232,436,40.1,59.9,23.8,60.9,0.958,188248.0,11.7,19.5,9.7,197787.0,15353.0,54.5,32.7,122.0,44.2,71.6,2.11,1.01,159,85.7,19.8,574.47,427.09,0.743,74.2,97.2,82.7,34.7,6.3,12.0,24.0,5.2,0.972,679.69,567.98,0.836,34.5,62.8,92.0,103181.0,45.2,67.6,0.75,458.07,329.92,0.72,1.32,76.3,0.0363,96.6,38.8,74.5,811.6,595.12,0.733,81.9,75.6,0.3,23.1,1299.0,273.59,348.09,95.0,60.7,59.6,61.4,70.9,2.98,38.1,51.3,35.6,41.7,1.4,0.758
4,Ballari,Karnataka,KA,2021,A,939297,247,43.0,57.0,28.0,68.2,0.911,192825.0,8.4,27.5,10.7,214362.0,15819.0,96.8,31.1,91.0,42.8,69.1,2.43,1.0,100,85.6,24.6,624.55,514.39,0.824,76.7,98.7,77.2,38.9,3.5,7.3,25.0,5.66,0.954,734.95,700.48,0.953,42.4,65.7,94.5,104946.0,62.1,40.0,0.13,472.55,353.89,0.749,1.4,63.1,0.0494,93.0,51.1,76.3,857.49,629.82,0.734,80.8,77.5,0.39,31.2,1361.0,287.05,365.77,95.0,63.2,71.4,62.8,74.3,3.76,40.4,45.9,35.5,40.6,1.4,0.815
5,Ballari,Karnataka,KA,2022,A,956441,462,38.8,61.2,24.4,64.1,0.956,203417.0,7.1,24.2,3.9,218862.0,16891.0,57.0,35.3,111.0,52.6,69.5,2.21,1.08,65,90.8,18.4,656.8,522.58,0.796,76.8,93.0,81.3,37.5,5.8,6.9,26.0,5.73,0.97,777.65,536.57,0.69,43.1,71.4,85.9,109609.0,42.7,78.6,0.13,493.62,369.35,0.748,1.64,67.1,0.0486,97.9,56.0,79.7,926.31,616.76,0.666,85.4,78.9,0.54,27.7,1434.0,327.52,394.86,95.0,67.4,80.6,71.9,79.4,3.69,37.8,44.8,27.6,36.7,1.4,0.725
6,Ballari,Karnataka,KA,2023,A,957875,537,39.3,60.7,13.2,65.0,0.954,227459.0,9.2,24.4,6.4,229962.0,17276.0,67.3,29.5,102.0,46.5,70.8,2.23,1.11,112,84.2,22.8,737.78,737.78,1.0,75.8,99.5,85.0,40.5,4.2,13.0,24.0,5.37,0.99,810.76,600.37,0.741,41.5,75.3,92.1,110953.0,64.2,44.8,0.16,513.07,376.11,0.733,1.58,61.5,0.0486,98.0,64.9,88.1,1051.36,746.64,0.71,80.9,89.8,0.37,31.9,1473.0,322.56,434.8,95.0,68.9,78.1,73.6,79.7,3.78,38.9,49.1,25.2,37.7,1.4,0.796
7,Ballari,Karnataka,KA,2024,A,972952,494,40.2,59.8,10.7,68.4,0.977,231326.0,6.5,23.9,7.2,239375.0,18071.0,53.0,30.4,105.0,38.6,72.2,2.5,1.12,80,92.3,20.1,756.18,583.7,0.772,76.5,93.7,86.1,39.2,4.6,9.0,23.0,5.57,0.99,826.71,644.08,0.779,36.5,76.7,87.6,119726.0,47.7,49.4,0.12,554.62,366.08,0.66,1.51,71.6,0.0445,100.0,61.8,87.3,1130.71,809.44,0.716,89.1,88.6,0.35,36.2,1483.0,356.47,448.4,95.0,72.3,72.7,73.9,79.6,3.53,33.0,46.4,23.9,34.4,1.4,0.732
8,Belagavi,Karnataka,KA,2018,A,858950,177,36.0,64.0,13.9,56.3,0.905,162616.0,9.0,20.9,5.1,186932.0,14512.0,65.0,31.7,135.0,48.4,69.1,1.99,0.83,53,80.8,26.4,483.45,477.25,0.987,72.8,95.7,80.3,31.7,4.4,13.1,22.0,4.86,0.952,603.37,501.91,0.832,41.3,63.9,89.7,95906.0,75.5,51.4,0.52,393.12,290.36,0.739,1.24,54.2,0.0303,92.2,27.4,67.1,693.03,490.67,0.708,75.1,66.6,0.78,22.8,1226.0,242.71,301.14,95.0,52.9,67.7,49.7,67.7,3.36,44.9,55.1,47.7,49.2,1.4,0.816
9,Belagavi,Karnataka,KA,2019,A,854902,1022,35.9,64.1,20.5,61.2,0.94,164167.0,9.4,26.7,6.0,192511.0,14736.0,88.8,34.8,107.0,45.1,70.8,2.5,0.96,71,85.2,23.9,514.77,435.07,0.845,72.6,95.5,77.6,41.2,4.7,11.5,25.0,5.52,0.976,612.75,557.59,0.91,36.4,66.4,81.1,98444.0,49.8,72.6,0.33,423.31,331.26,0.783,1.43,75.9,0.0346,91.3,32.0,74.7,727.33,648.19,0.891,74.2,69.6,0.44,25.9,1264.0,257.53,314.53,95.0,59.2,68.5,60.0,72.0,3.46,40.4,49.9,38.8,43.0,1.4,0.857
10,Belagavi,Karnataka,KA,2020,A,864121,175,40.6,59.4,13.6,63.2,0.89,184328.0,7.4,25.5,4.2,201904.0,15834.0,80.4,34.0,122.0,41.9,69.9,2.2,1.17,88,85.3,23.6,537.74,400.94,0.746,73.7,94.3,77.3,32.6,6.1,15.0,24.0,5.04,0.936,661.46,624.51,0.944,27.3,62.6,91.6,103947.0,41.8,61.9,0.32,424.45,370.33,0.872,1.52,71.0,0.0529,93.4,44.7,76.8,821.11,774.39,0.943,74.9,80.4,0.7,27.3,1275.0,281.47,347.73,95.0,49.6,65.9,65.3,70.4,3.34,41.6,55.7,34.0,43.8,1.4,0.876
11,Belagavi,Karnataka,KA,2021,A,878105,182,37.7,62.3,10.4,62.9,0.954,191731.0,6.1,28.1,2.4,202422.0,15726.0,74.0,36.2,111.0,55.4,69.0,2.43,1.04,103,80.2,23.1,592.63,566.59,0.956,75.3,92.7,82.5,35.3,5.9,11.8,22.0,5.76,0.975,667.57,587.85,0.881,29.2,74.4,93.1,111980.0,60.1,56.2,0.63,437.16,344.4,0.788,1.48,58.5,0.0444,98.1,51.6,76.5,817.98,560.38,0.685,84.7,75.3,0.63,24.3,1360.0,287.89,369.87,95.0,62.6,70.7,65.3,74.6,3.8,43.9,51.0,32.8,42.6,1.4,0.828
